domain,company,region
atlassian.com,Atlassian,Global
salesforce.com,Salesforce,Global
slack.com,Slack,Global
zoom.us,Zoom,Global
twilio.com,Twilio,Global
stripe.com,Stripe,Global
github.com,GitHub,Global
gitlab.com,GitLab,Global
notion.so,Notion,Global
asana.com,Asana,Global
monday.com,Monday.com,Global
clickup.com,ClickUp,Global
dropbox.com,Dropbox,Global
box.com,Box,Global
cloudflare.com,Cloudflare,Global
datadoghq.com,Datadog,Global
newrelic.com,New Relic,Global
pagerduty.com,PagerDuty,Global
sentry.io,Sentry,Global
okta.com,Okta,Global
auth0.com,Auth0,Global
onelogin.com,OneLogin,Global
workday.com,Workday,Global
servicenow.com,ServiceNow,Global
zendesk.com,Zendesk,Global
intercom.com,Intercom,Global
freshworks.com,Freshworks,Global
airtable.com,Airtable,Global
figma.com,Figma,Global
miro.com,Miro,Global
lucid.app,Lucid,Global
confluent.io,Confluent,Global
snowflake.com,Snowflake,Global
databricks.com,Databricks,Global
tableau.com,Tableau,Global
powerbi.microsoft.com,Power BI,Global
segment.com,Segment,Global
amplitude.com,Amplitude,Global
mixpanel.com,Mixpanel,Global
mailchimp.com,Mailchimp,Global
sendgrid.com,SendGrid,Global
postmarkapp.com,Postmark,Global
customer.io,Customer.io,Global
hubspot.com,HubSpot,Global
marketo.com,Marketo,Global
adobe.com,Adobe,Global
dropcontact.com,Dropcontact,Global
clearbit.com,Clearbit,Global
gong.io,Gong,Global
chorus.ai,Chorus,Global
navigator.linkedin.com,LinkedIn Navigator,Global
hackerone.com,HackerOne,Global
bugcrowd.com,Bugcrowd,Global
vercel.com,Vercel,Global
netlify.com,Netlify,Global
heroku.com,Heroku,Global
render.com,Render,Global
supabase.com,Supabase,Global
firebase.google.com,Firebase,Global
cloud.google.com,Google Cloud,Global
aws.amazon.com,AWS,Global
azure.microsoft.com,Azure,Global
digitalocean.com,DigitalOcean,Global
linode.com,Linode,Global
vultr.com,Vultr,Global
fastly.com,Fastly,Global
akamai.com,Akamai,Global
algolia.com,Algolia,Global
elastic.co,Elastic,Global
logz.io,Logz.io,Global
sumologic.com,Sumo Logic,Global
splunk.com,Splunk,Global
statuspage.io,Statuspage,Global
instatus.com,Instatus,Global
posthog.com,PostHog,Global
hotjar.com,Hotjar,Global
fullstory.com,FullStory,Global
smartlook.com,Smartlook,Global
hightouch.com,Hightouch,Global
fivetran.com,Fivetran,Global
stitchdata.com,Stitch,Global
airbyte.com,Airbyte,Global
hevodata.com,Hevo,Global
segmentapis.com,Segment APIs,Global
census.com,Census,Global
githubstatus.com,GitHub Status,Global
circleci.com,CircleCI,Global
travis-ci.com,Travis CI,Global
githubactions.com,GitHub Actions,Global
snyk.io,Snyk,Global
sonarsource.com,SonarSource,Global
jetbrains.com,JetBrains,Global
hashicorp.com,HashiCorp,Global
terraform.io,Terraform,Global
pulumi.com,Pulumi,Global
docker.com,Docker,Global
kubernetes.io,Kubernetes,Global
helm.sh,Helm,Global
backblaze.com,Backblaze,Global
wasabi.com,Wasabi,Global
cloudinary.com,Cloudinary,Global
imgix.com,Imgix,Global
mux.com,Mux,Global
wistia.com,Wistia,Global
vimeo.com,Vimeo,Global
sendinblue.com,Brevo,Global
mailgun.com,Mailgun,Global
authentik.io,Authentik,Global
duo.com,Duo Security,Global
1password.com,1Password,Global
lastpass.com,LastPass,Global
keepersecurity.com,Keeper,Global
crowdstrike.com,CrowdStrike,Global
sentinelone.com,SentinelOne,Global
darktrace.com,Darktrace,Global
rapid7.com,Rapid7,Global
qualys.com,Qualys,Global
tenable.com,Tenable,Global
cloudflarestatus.com,Cloudflare Status,Global
paypal.com,PayPal,Global
braintreepayments.com,Braintree,Global
adyen.com,Adyen,Global
squareup.com,Square,Global
