email,name,title,company,domain,region,status
manningtopps@gmail.com,,,Your Co,gmail.com,,sent
procurement@asana.com,,,Asana,asana.com,,suppress
security@globex.com,,,globex,globex.com,,new
compliance@globex.com,,,globex,globex.com,,new
privacy@globex.com,,,globex,globex.com,,new
legal@globex.com,,,globex,globex.com,,new
cto@globex.com,,,globex,globex.com,,new
ciso@globex.com,,,globex,globex.com,,new
info@globex.com,,,globex,globex.com,,new
security@atlassian.com,,,atlassian,atlassian.com,,new
compliance@atlassian.com,,,atlassian,atlassian.com,,new
privacy@atlassian.com,,,atlassian,atlassian.com,,new
legal@atlassian.com,,,atlassian,atlassian.com,,new
cto@atlassian.com,,,atlassian,atlassian.com,,new
ciso@atlassian.com,,,atlassian,atlassian.com,,new
info@atlassian.com,,,atlassian,atlassian.com,,new
security@_seed.com,,,_seed,_seed.com,,new
compliance@_seed.com,,,_seed,_seed.com,,new
privacy@_seed.com,,,_seed,_seed.com,,new
legal@_seed.com,,,_seed,_seed.com,,new
cto@_seed.com,,,_seed,_seed.com,,new
ciso@_seed.com,,,_seed,_seed.com,,new
info@_seed.com,,,_seed,_seed.com,,new
security@acme.com,,,acme,acme.com,,new
compliance@acme.com,,,acme,acme.com,,new
privacy@acme.com,,,acme,acme.com,,new
legal@acme.com,,,acme,acme.com,,new
cto@acme.com,,,acme,acme.com,,new
ciso@acme.com,,,acme,acme.com,,new
info@acme.com,,,acme,acme.com,,new
security@auth0.com,,,auth0,auth0,,sent
compliance@auth0.com,,,auth0,auth0,,sent
privacy@auth0.com,,,auth0,auth0,,sent
legal@auth0.com,,,auth0,auth0,,sent
cto@auth0.com,,,auth0,auth0,,sent
ciso@auth0.com,,,auth0,auth0,,sent
info@auth0.com,,,auth0,auth0,,sent
security@cloudflare.com,,,cloudflare,cloudflare,,sent
compliance@cloudflare.com,,,cloudflare,cloudflare,,sent
privacy@cloudflare.com,,,cloudflare,cloudflare,,sent
legal@cloudflare.com,,,cloudflare,cloudflare,,sent
cto@cloudflare.com,,,cloudflare,cloudflare,,sent
ciso@cloudflare.com,,,cloudflare,cloudflare,,sent
info@cloudflare.com,,,cloudflare,cloudflare,,sent
security@datadoghq.com,,,datadog,datadoghq,,sent
compliance@datadoghq.com,,,datadog,datadoghq,,sent
privacy@datadoghq.com,,,datadog,datadoghq,,sent
legal@datadoghq.com,,,datadog,datadoghq,,sent
cto@datadoghq.com,,,datadog,datadoghq,,sent
ciso@datadoghq.com,,,datadog,datadoghq,,sent
info@datadoghq.com,,,datadog,datadoghq,,new
security@github.com,,,github,github,,sent
compliance@github.com,,,github,github,,sent
privacy@github.com,,,github,github,,sent
legal@github.com,,,github,github,,bounced
cto@github.com,,,github,github,,sent
ciso@github.com,,,github,github,,sent
info@github.com,,,github,github,,new
security@notion.so,,,notion,notion,,sent
compliance@notion.so,,,notion,notion,,sent
privacy@notion.so,,,notion,notion,,sent
legal@notion.so,,,notion,notion,,sent
cto@notion.so,,,notion,notion,,sent
ciso@notion.so,,,notion,notion,,sent
info@notion.so,,,notion,notion,,new
security@slack.com,,,slack,slack,,sent
compliance@slack.com,,,slack,slack,,sent
privacy@slack.com,,,slack,slack,,new
legal@slack.com,,,slack,slack,,new
cto@slack.com,,,slack,slack,,new
ciso@slack.com,,,slack,slack,,new
info@slack.com,,,slack,slack,,new
security@snowflake.com,,,snowflake,snowflake,,sent
compliance@snowflake.com,,,snowflake,snowflake,,sent
privacy@snowflake.com,,,snowflake,snowflake,,sent
legal@snowflake.com,,,snowflake,snowflake,,sent
cto@snowflake.com,,,snowflake,snowflake,,sent
ciso@snowflake.com,,,snowflake,snowflake,,sent
info@snowflake.com,,,snowflake,snowflake,,new
security@stripe.com,,,stripe,stripe,,sent
compliance@stripe.com,,,stripe,stripe,,sent
privacy@stripe.com,,,stripe,stripe,,sent
legal@stripe.com,,,stripe,stripe,,sent
cto@stripe.com,,,stripe,stripe,,sent
ciso@stripe.com,,,stripe,stripe,,sent
info@stripe.com,,,stripe,stripe,,new
security@twilio.com,,,twilio,twilio,,sent
compliance@twilio.com,,,twilio,twilio,,sent
privacy@twilio.com,,,twilio,twilio,,sent
legal@twilio.com,,,twilio,twilio,,sent
cto@twilio.com,,,twilio,twilio,,sent
ciso@twilio.com,,,twilio,twilio,,sent
info@twilio.com,,,twilio,twilio,,new
security@adyen.com,,,adyen,adyen.com,,new
compliance@adyen.com,,,adyen,adyen.com,,new
privacy@adyen.com,,,adyen,adyen.com,,new
legal@adyen.com,,,adyen,adyen.com,,new
cto@adyen.com,,,adyen,adyen.com,,new
ciso@adyen.com,,,adyen,adyen.com,,new
info@adyen.com,,,adyen,adyen.com,,new
security@algolia.com,,,algolia,algolia.com,,new
compliance@algolia.com,,,algolia,algolia.com,,new
privacy@algolia.com,,,algolia,algolia.com,,new
legal@algolia.com,,,algolia,algolia.com,,new
cto@algolia.com,,,algolia,algolia.com,,new
ciso@algolia.com,,,algolia,algolia.com,,new
info@algolia.com,,,algolia,algolia.com,,new
security@asana.com,,,asana,asana.com,,new
compliance@asana.com,,,asana,asana.com,,new
privacy@asana.com,,,asana,asana.com,,new
legal@asana.com,,,asana,asana.com,,new
cto@asana.com,,,asana,asana.com,,new
ciso@asana.com,,,asana,asana.com,,new
info@asana.com,,,asana,asana.com,,new
security@aws.amazon.com,,,aws,aws.amazon.com,,new
compliance@aws.amazon.com,,,aws,aws.amazon.com,,new
privacy@aws.amazon.com,,,aws,aws.amazon.com,,new
legal@aws.amazon.com,,,aws,aws.amazon.com,,new
cto@aws.amazon.com,,,aws,aws.amazon.com,,new
ciso@aws.amazon.com,,,aws,aws.amazon.com,,new
info@aws.amazon.com,,,aws,aws.amazon.com,,new
security@bitbucket.org,,,bitbucket,bitbucket.org,,new
