vendor,score,impact
adyen.com,7.64,Medium
algolia.com,7.64,Medium
atlassian.com,7.64,Medium
aws.amazon.com,7.64,Medium
box.com,7.64,Medium
braintreepayments.com,7.64,Medium
canva.com,7.64,Medium
chargebee.com,7.64,Medium
checkout.com,7.64,Medium
cloudflare.com,7.64,Medium
confluent.io,7.64,Medium
contentful.com,7.64,Medium
domain,7.64,Medium
dropbox.com,7.64,Medium
duo.com,7.64,Medium
elastic.co,7.64,Medium
fastly.com,7.64,Medium
figma.com,7.64,Medium
freshworks.com,7.64,Medium
globex.com,7.64,Medium
google.com,7.64,Medium
helpscout.com,7.64,Medium
heroku.com,7.64,Medium
hubspot.com,7.64,Medium
intercom.com,7.64,Medium
linear.app,7.64,Medium
mailgun.com,7.64,Medium
microsoft.com,7.64,Medium
mongodb.com,7.64,Medium
netlify.com,7.64,Medium
newrelic.com,7.64,Medium
notion.so,7.64,Medium
okta.com,7.64,Medium
onelogin.com,7.64,Medium
paddle.com,7.64,Medium
recurly.com,7.64,Medium
salesforce.com,7.64,Medium
sanity.io,7.64,Medium
sentry.io,7.64,Medium
snowflake.com,7.64,Medium
stripe.com,7.64,Medium
twilio.com,7.64,Medium
vercel.com,7.64,Medium
zendesk.com,7.64,Medium
zoho.com,7.64,Medium
datadoghq.com,6.68,Medium
gitlab.com,6.68,Medium
miro.com,6.68,Medium
supabase.com,6.68,Medium
bitbucket.org,5.73,Medium
segment.com,5.73,Medium
asana.com,3.82,Low
auth0.com,3.82,Low
postmarkapp.com,3.82,Low
sendgrid.com,3.82,Low
slack.com,3.82,Low
_seed.com,2.86,Low
acme.com,2.86,Low
github.com,2.86,Low
render.com,2.86,Low
status.adyen.com,2.86,Low
status.algolia.com,2.86,Low
status.auth0.com,2.86,Low
status.aws.amazon.com,2.86,Low
status.bitbucket.org,2.86,Low
status.braintreepayments.com,2.86,Low
status.canva.com,2.86,Low
status.checkout.com,2.86,Low
status.cloudflare.com,2.86,Low
status.confluent.io,2.86,Low
status.contentful.com,2.86,Low
status.domain,2.86,Low
status.fastly.com,2.86,Low
status.freshworks.com,2.86,Low
status.github.com,2.86,Low
status.gitlab.com,2.86,Low
status.globex.com,2.86,Low
status.google.com,2.86,Low
status.heroku.com,2.86,Low
status.intercom.com,2.86,Low
status.linear.app,2.86,Low
status.microsoft.com,2.86,Low
status.miro.com,2.86,Low
status.netlify.com,2.86,Low
status.notion.so,2.86,Low
status.okta.com,2.86,Low
status.onelogin.com,2.86,Low
status.paddle.com,2.86,Low
status.recurly.com,2.86,Low
status.salesforce.com,2.86,Low
status.sanity.io,2.86,Low
status.slack.com,2.86,Low
status.stripe.com,2.86,Low
status.vercel.com,2.86,Low
status.zendesk.com,2.86,Low
status.zoom.us,2.86,Low
zoom.us,2.86,Low
help,1.91,Low
monday.com,1.91,Low
status.asana.com,1.91,Low
status.atlassian.com,1.91,Low
status.box.com,1.91,Low
status.chargebee.com,1.91,Low
status.datadoghq.com,1.91,Low
status.dropbox.com,1.91,Low
status.duo.com,1.91,Low
status.elastic.co,1.91,Low
status.figma.com,1.91,Low
status.helpscout.com,1.91,Low
status.hubspot.com,1.91,Low
status.mailgun.com,1.91,Low
status.monday.com,1.91,Low
status.mongodb.com,1.91,Low
status.newrelic.com,1.91,Low
status.postmarkapp.com,1.91,Low
status.render.com,1.91,Low
status.segment.com,1.91,Low
status.sendgrid.com,1.91,Low
status.sentry.io,1.91,Low
status.snowflake.com,1.91,Low
status.supabase.com,1.91,Low
status.twilio.com,1.91,Low
status.zoho.com,1.91,Low
status.acme.com,0.95,Low
status.help,0.95,Low
acme,0.94,Low
